k,solution,spreads,elapsed
1,486,796.2,117.892
2,762,797.2,291.274
3,417,797.9,455.146
4,422,798.5,625.776
5,449,799.5,807.527
6,774,799.4,984.751
7,564,799.8,1155.398
8,349,802.2,1329.736
9,894,803.2,1494.094
10,561,802.7,1657.659
11,915,803.7,1849.863
12,948,804.7,2034.175
13,960,805.7,2205.429
14,994,806.7,2372.7
15,595,807.6,2548.203
16,603,808.5,2736.288
17,701,809.4,2920.624
18,770,810.3,3122.79
19,795,811.2,3291.031
20,864,812.1,3475.748
21,871,813.0,3670.425
22,576,813.2,3877.068
23,578,814.1,4071.766
24,876,815.0,4274.335
25,897,815.9,4451.628
26,910,816.5,4615.904
27,503,816.2,4777.457
28,583,817.1,4937.865
29,622,818.0,5098.749
30,916,819.4,5260.39
31,626,820.3,5419.119
32,688,821.2,5578.721
33,761,822.1,5736.785
34,780,822.5,5894.765
35,787,823.4,6052.41
36,881,824.3,6209.445
37,680,824.6,6368.925
38,831,825.5,6526.353
39,946,826.4,6689.593
40,819,826.5,6847.778
41,613,824.5,7057.363
42,888,825.5,7224.82
43,965,826.5,7405.092
44,854,826.7,7573.175
45,436,827.6,7737.982
46,668,828.5,7902.714
47,834,829.4,8067.632
48,853,830.3,8232.746
49,899,831.2,8397.623
50,959,832.1,8564.826
