k,solution,spreads,elapsed,lookups
1,573,827.2,67.044,1005
2,81,828.2,146.158,986000
3,965,829.0,148.269,25000
4,975,829.7,148.349,1000
5,973,828.4,149.149,10000
6,731,827.5,149.566,5000
7,732,827.7,149.645,1000
8,744,831.2,149.721,1000
9,746,830.2,149.804,1000
10,772,834.8,149.881,1000
11,168,832.3,151.74,22000
12,935,829.8,152.474,9000
13,1000,828.8,152.627,2000
14,40,830.5,152.709,1000
15,437,829.4,152.787,1000
16,846,828.0,152.864,1000
17,56,828.5,152.966,1000
18,229,826.6,153.063,1000
19,515,825.5,153.16,1000
20,522,828.8,153.261,1000
21,670,829.9,153.348,1000
22,791,828.2,153.463,1000
23,882,829.8,153.559,1000
24,70,829.7,153.64,1000
25,201,831.1,153.721,1000
26,260,829.9,153.81,1000
27,633,827.9,153.889,1000
28,637,833.2,153.968,1000
29,788,833.6,154.054,1000
30,88,842.4,154.134,1000
31,738,839.6,155.76,18000
32,887,837.1,155.919,2000
33,194,836.4,156.003,1000
34,466,835.2,156.085,1000
35,575,837.6,156.164,1000
36,605,836.0,156.246,1000
37,899,834.0,156.326,1000
38,527,836.6,156.407,1000
39,122,835.5,156.493,1000
40,327,838.7,156.574,1000
41,436,837.8,156.655,1000
42,534,839.4,156.743,1000
43,551,842.3,156.821,1000
44,944,840.6,156.979,2000
45,958,838.7,157.056,1000
46,966,837.3,157.132,1000
47,146,837.9,157.24,1000
48,206,841.6,157.318,1000
49,244,837.9,157.393,1000
50,293,837.7,157.473,1000
